term,coef
great,8.35411376413857
excellent,7.138733298504122
best,5.91318213100196
perfect,5.415000788310604
wonderful,5.342127505757597
amazing,5.335577391068256
loved,4.909730121208955
favorite,4.845325511113339
brilliant,4.591812370035308
enjoyed,4.493295884863609
love,4.445175982612634
today,4.31364632896381
fun,4.255463946779607
superb,4.097314893443686
hilarious,4.02077584513914
enjoyable,3.9856734464834096
highly,3.8928068923082435
fantastic,3.6634639255183936
definitely,3.578474369323094
gem,3.511672400020906
